name,url,base_experience,height,id,image_url,weight,stat_hp,stat_attack,stat_defense,stat_special-attack,stat_special-defense,stat_speed,ability_0_id,ability_0,ability_1_id,ability_1,type_0_id,type_0,type_1_id,type_1,ability_2_id,ability_2
metapod,https://pokeapi.co/api/v2/pokemon/11/,72.0,7,11,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,99,50,20,55,25,25,30,61,shed-skin,,,7,bug,,,,
butterfree,https://pokeapi.co/api/v2/pokemon/12/,198.0,11,12,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,320,60,45,50,90,80,70,14,compound-eyes,110,tinted-lens,7,bug,3,flying,,
weedle,https://pokeapi.co/api/v2/pokemon/13/,39.0,3,13,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,32,40,35,30,20,20,50,19,shield-dust,50,run-away,7,bug,4,poison,,
kakuna,https://pokeapi.co/api/v2/pokemon/14/,72.0,6,14,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,100,45,25,50,25,25,35,61,shed-skin,,,7,bug,4,poison,,
beedrill,https://pokeapi.co/api/v2/pokemon/15/,178.0,10,15,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,295,65,90,40,45,80,75,68,swarm,97,sniper,7,bug,4,poison,,
pidgey,https://pokeapi.co/api/v2/pokemon/16/,50.0,3,16,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,18,40,45,40,35,35,56,51,keen-eye,77,tangled-feet,1,normal,3,flying,145,big-pecks
pidgeotto,https://pokeapi.co/api/v2/pokemon/17/,122.0,11,17,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,300,63,60,55,50,50,71,51,keen-eye,77,tangled-feet,1,normal,3,flying,145,big-pecks
pidgeot,https://pokeapi.co/api/v2/pokemon/18/,216.0,15,18,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,395,83,80,75,70,70,101,51,keen-eye,77,tangled-feet,1,normal,3,flying,145,big-pecks
rattata,https://pokeapi.co/api/v2/pokemon/19/,51.0,3,19,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,35,30,56,35,25,35,72,50,run-away,62,guts,1,normal,,,55,hustle
raticate,https://pokeapi.co/api/v2/pokemon/20/,145.0,7,20,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,185,55,81,60,50,70,97,50,run-away,62,guts,1,normal,,,55,hustle
spearow,https://pokeapi.co/api/v2/pokemon/21/,52.0,3,21,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,20,40,60,30,31,31,70,51,keen-eye,97,sniper,1,normal,3,flying,,
fearow,https://pokeapi.co/api/v2/pokemon/22/,155.0,12,22,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,380,65,90,65,61,61,100,51,keen-eye,97,sniper,1,normal,3,flying,,
ekans,https://pokeapi.co/api/v2/pokemon/23/,58.0,20,23,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,69,35,60,44,40,54,55,22,intimidate,61,shed-skin,4,poison,,,127,unnerve
arbok,https://pokeapi.co/api/v2/pokemon/24/,157.0,35,24,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,650,60,95,69,65,79,80,22,intimidate,61,shed-skin,4,poison,,,127,unnerve
pikachu,https://pokeapi.co/api/v2/pokemon/25/,112.0,4,25,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,60,35,55,40,50,50,90,9,static,31,lightning-rod,13,electric,,,,
raichu,https://pokeapi.co/api/v2/pokemon/26/,243.0,8,26,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,300,60,90,55,90,80,110,9,static,31,lightning-rod,13,electric,,,,
sandshrew,https://pokeapi.co/api/v2/pokemon/27/,60.0,6,27,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,120,50,75,85,20,30,40,8,sand-veil,146,sand-rush,5,ground,,,,
sandslash,https://pokeapi.co/api/v2/pokemon/28/,158.0,10,28,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,295,75,100,110,45,55,65,8,sand-veil,146,sand-rush,5,ground,,,,
nidoran-f,https://pokeapi.co/api/v2/pokemon/29/,55.0,4,29,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,70,55,47,52,40,40,41,38,poison-point,79,rivalry,4,poison,,,55,hustle
nidorina,https://pokeapi.co/api/v2/pokemon/30/,128.0,8,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,200,70,62,67,55,55,56,38,poison-point,79,rivalry,4,poison,,,55,hustle
nidoqueen,https://pokeapi.co/api/v2/pokemon/31/,253.0,13,31,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,600,90,92,87,75,85,76,38,poison-point,79,rivalry,4,poison,5,ground,125,sheer-force
nidoran-m,https://pokeapi.co/api/v2/pokemon/32/,55.0,5,32,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,90,46,57,40,40,40,50,38,poison-point,79,rivalry,4,poison,,,55,hustle
nidorino,https://pokeapi.co/api/v2/pokemon/33/,128.0,9,33,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,195,61,72,57,55,55,65,38,poison-point,79,rivalry,4,poison,,,55,hustle
nidoking,https://pokeapi.co/api/v2/pokemon/34/,253.0,14,34,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,620,81,102,77,85,75,85,38,poison-point,79,rivalry,4,poison,5,ground,125,sheer-force
clefairy,https://pokeapi.co/api/v2/pokemon/35/,113.0,6,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,75,70,45,48,60,65,35,56,cute-charm,98,magic-guard,18,fairy,,,132,friend-guard
clefable,https://pokeapi.co/api/v2/pokemon/36/,242.0,13,36,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,400,95,70,73,95,90,60,56,cute-charm,98,magic-guard,18,fairy,,,109,unaware
vulpix,https://pokeapi.co/api/v2/pokemon/37/,60.0,6,37,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,99,38,41,40,50,65,65,18,flash-fire,70,drought,10,fire,,,,
ninetales,https://pokeapi.co/api/v2/pokemon/38/,177.0,11,38,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,199,73,76,75,81,100,100,18,flash-fire,70,drought,10,fire,,,,
jigglypuff,https://pokeapi.co/api/v2/pokemon/39/,95.0,5,39,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,55,115,45,20,45,25,20,56,cute-charm,172,competitive,1,normal,18,fairy,132,friend-guard
wigglytuff,https://pokeapi.co/api/v2/pokemon/40/,218.0,10,40,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,120,140,70,45,85,50,45,56,cute-charm,172,competitive,1,normal,18,fairy,119,frisk
zubat,https://pokeapi.co/api/v2/pokemon/41/,49.0,8,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,75,40,45,35,30,40,55,39,inner-focus,151,infiltrator,4,poison,3,flying,,
golbat,https://pokeapi.co/api/v2/pokemon/42/,159.0,16,42,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,550,75,80,70,65,75,90,39,inner-focus,151,infiltrator,4,poison,3,flying,,
oddish,https://pokeapi.co/api/v2/pokemon/43/,64.0,5,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,54,45,50,55,75,65,30,34,chlorophyll,50,run-away,12,grass,4,poison,,
gloom,https://pokeapi.co/api/v2/pokemon/44/,138.0,8,44,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,86,60,65,70,85,75,40,34,chlorophyll,1,stench,12,grass,4,poison,,
vileplume,https://pokeapi.co/api/v2/pokemon/45/,245.0,12,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,186,75,80,85,110,90,50,34,chlorophyll,27,effect-spore,12,grass,4,poison,,
paras,https://pokeapi.co/api/v2/pokemon/46/,57.0,3,46,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,54,35,70,55,45,55,25,27,effect-spore,87,dry-skin,7,bug,12,grass,6,damp
parasect,https://pokeapi.co/api/v2/pokemon/47/,142.0,10,47,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,295,60,95,80,60,80,30,27,effect-spore,87,dry-skin,7,bug,12,grass,6,damp
venonat,https://pokeapi.co/api/v2/pokemon/48/,61.0,10,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,300,60,55,50,40,55,45,14,compound-eyes,110,tinted-lens,7,bug,4,poison,50,run-away
venomoth,https://pokeapi.co/api/v2/pokemon/49/,158.0,15,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,125,70,65,60,90,75,90,19,shield-dust,110,tinted-lens,7,bug,4,poison,147,wonder-skin
diglett,https://pokeapi.co/api/v2/pokemon/50/,53.0,2,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,8,10,55,25,35,45,95,8,sand-veil,71,arena-trap,5,ground,,,159,sand-force
dugtrio,https://pokeapi.co/api/v2/pokemon/51/,149.0,7,51,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,333,35,100,50,50,70,120,8,sand-veil,71,arena-trap,5,ground,,,159,sand-force
meowth,https://pokeapi.co/api/v2/pokemon/52/,58.0,4,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,42,40,45,35,40,40,90,53,pickup,101,technician,1,normal,,,127,unnerve
persian,https://pokeapi.co/api/v2/pokemon/53/,154.0,10,53,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,320,65,70,60,65,65,115,7,limber,101,technician,1,normal,,,127,unnerve
psyduck,https://pokeapi.co/api/v2/pokemon/54/,64.0,8,54,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,196,50,52,48,65,50,55,6,damp,13,cloud-nine,11,water,,,33,swift-swim
golduck,https://pokeapi.co/api/v2/pokemon/55/,175.0,17,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,766,80,82,78,95,80,85,6,damp,13,cloud-nine,11,water,,,33,swift-swim
mankey,https://pokeapi.co/api/v2/pokemon/56/,61.0,5,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,280,40,80,35,35,45,70,72,vital-spirit,83,anger-point,2,fighting,,,128,defiant
primeape,https://pokeapi.co/api/v2/pokemon/57/,159.0,10,57,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,320,65,105,60,60,70,95,72,vital-spirit,83,anger-point,2,fighting,,,128,defiant
growlithe,https://pokeapi.co/api/v2/pokemon/58/,70.0,7,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,190,55,70,45,70,50,60,22,intimidate,18,flash-fire,10,fire,,,154,justified
arcanine,https://pokeapi.co/api/v2/pokemon/59/,194.0,19,59,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,1550,90,110,80,100,80,95,22,intimidate,18,flash-fire,10,fire,,,154,justified
poliwag,https://pokeapi.co/api/v2/pokemon/60/,60.0,6,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,124,40,50,40,40,40,90,11,water-absorb,6,damp,11,water,,,33,swift-swim
poliwhirl,https://pokeapi.co/api/v2/pokemon/61/,135.0,10,61,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,200,65,65,65,50,50,90,11,water-absorb,6,damp,11,water,,,33,swift-swim
poliwrath,https://pokeapi.co/api/v2/pokemon/62/,255.0,13,62,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,540,90,95,95,70,90,70,11,water-absorb,6,damp,11,water,2,fighting,33,swift-swim
abra,https://pokeapi.co/api/v2/pokemon/63/,62.0,9,63,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,195,25,20,15,105,55,90,28,synchronize,39,inner-focus,14,psychic,,,98,magic-guard
kadabra,https://pokeapi.co/api/v2/pokemon/64/,140.0,13,64,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,565,40,35,30,120,70,105,28,synchronize,39,inner-focus,14,psychic,,,98,magic-guard
alakazam,https://pokeapi.co/api/v2/pokemon/65/,250.0,15,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,480,55,50,45,135,95,120,28,synchronize,39,inner-focus,14,psychic,,,98,magic-guard
machop,https://pokeapi.co/api/v2/pokemon/66/,61.0,8,66,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,195,70,80,50,35,35,35,62,guts,99,no-guard,2,fighting,,,80,steadfast
machoke,https://pokeapi.co/api/v2/pokemon/67/,142.0,15,67,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,705,80,100,70,50,60,45,62,guts,99,no-guard,2,fighting,,,80,steadfast
machamp,https://pokeapi.co/api/v2/pokemon/68/,253.0,16,68,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,1300,90,130,80,65,85,55,62,guts,99,no-guard,2,fighting,,,80,steadfast
bellsprout,https://pokeapi.co/api/v2/pokemon/69/,60.0,7,69,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,40,50,75,35,70,30,40,34,chlorophyll,82,gluttony,12,grass,4,poison,,
weepinbell,https://pokeapi.co/api/v2/pokemon/70/,137.0,10,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,64,65,90,50,85,45,55,34,chlorophyll,82,gluttony,12,grass,4,poison,,
victreebel,https://pokeapi.co/api/v2/pokemon/71/,221.0,17,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,155,80,105,65,100,70,70,34,chlorophyll,82,gluttony,12,grass,4,poison,,
tentacool,https://pokeapi.co/api/v2/pokemon/72/,67.0,9,72,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,455,40,40,35,50,100,70,29,clear-body,64,liquid-ooze,11,water,4,poison,44,rain-dish
tentacruel,https://pokeapi.co/api/v2/pokemon/73/,180.0,16,73,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,550,80,70,65,80,120,100,29,clear-body,64,liquid-ooze,11,water,4,poison,44,rain-dish
geodude,https://pokeapi.co/api/v2/pokemon/74/,60.0,4,74,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,200,40,80,100,30,30,20,69,rock-head,5,sturdy,6,rock,5,ground,8,sand-veil
graveler,https://pokeapi.co/api/v2/pokemon/75/,137.0,10,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,1050,55,95,115,45,45,35,69,rock-head,5,sturdy,6,rock,5,ground,8,sand-veil
golem,https://pokeapi.co/api/v2/pokemon/76/,223.0,14,76,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,3000,80,120,130,55,65,45,69,rock-head,5,sturdy,6,rock,5,ground,8,sand-veil
ponyta,https://pokeapi.co/api/v2/pokemon/77/,82.0,10,77,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,300,50,85,55,65,65,90,50,run-away,18,flash-fire,10,fire,,,49,flame-body
rapidash,https://pokeapi.co/api/v2/pokemon/78/,175.0,17,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,950,65,100,70,80,80,105,50,run-away,18,flash-fire,10,fire,,,49,flame-body
slowpoke,https://pokeapi.co/api/v2/pokemon/79/,63.0,12,79,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,360,90,65,65,40,40,15,12,oblivious,20,own-tempo,11,water,14,psychic,144,regenerator
slowbro,https://pokeapi.co/api/v2/pokemon/80/,172.0,16,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,785,95,75,110,100,80,30,12,oblivious,20,own-tempo,11,water,14,psychic,144,regenerator
magnemite,https://pokeapi.co/api/v2/pokemon/81/,65.0,3,81,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,60,25,35,70,95,55,45,42,magnet-pull,5,sturdy,13,electric,9,steel,148,analytic
magneton,https://pokeapi.co/api/v2/pokemon/82/,163.0,10,82,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,600,50,60,95,120,70,70,42,magnet-pull,5,sturdy,13,electric,9,steel,148,analytic
farfetchd,https://pokeapi.co/api/v2/pokemon/83/,132.0,8,83,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,150,52,90,55,58,62,60,51,keen-eye,39,inner-focus,1,normal,3,flying,128,defiant
doduo,https://pokeapi.co/api/v2/pokemon/84/,62.0,14,84,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,392,35,85,45,35,35,75,50,run-away,48,early-bird,1,normal,3,flying,77,tangled-feet
dodrio,https://pokeapi.co/api/v2/pokemon/85/,165.0,18,85,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,852,60,110,70,60,60,110,50,run-away,48,early-bird,1,normal,3,flying,77,tangled-feet
seel,https://pokeapi.co/api/v2/pokemon/86/,65.0,11,86,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,900,65,45,55,45,70,45,47,thick-fat,93,hydration,11,water,,,115,ice-body
dewgong,https://pokeapi.co/api/v2/pokemon/87/,166.0,17,87,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,1200,90,70,80,70,95,70,47,thick-fat,93,hydration,11,water,15,ice,115,ice-body
grimer,https://pokeapi.co/api/v2/pokemon/88/,65.0,9,88,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,300,80,80,50,40,50,25,1,stench,60,sticky-hold,4,poison,,,143,poison-touch
muk,https://pokeapi.co/api/v2/pokemon/89/,175.0,12,89,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,300,105,105,75,65,100,50,1,stench,60,sticky-hold,4,poison,,,143,poison-touch
shellder,https://pokeapi.co/api/v2/pokemon/90/,61.0,3,90,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,40,30,65,100,45,25,40,75,shell-armor,92,skill-link,11,water,,,142,overcoat
cloyster,https://pokeapi.co/api/v2/pokemon/91/,184.0,15,91,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,1325,50,95,180,85,45,70,75,shell-armor,92,skill-link,11,water,15,ice,142,overcoat
gastly,https://pokeapi.co/api/v2/pokemon/92/,62.0,13,92,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,1,30,35,30,100,35,80,26,levitate,,,8,ghost,4,poison,,
haunter,https://pokeapi.co/api/v2/pokemon/93/,142.0,16,93,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,1,45,50,45,115,55,95,26,levitate,,,8,ghost,4,poison,,
gengar,https://pokeapi.co/api/v2/pokemon/94/,250.0,15,94,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,405,60,65,60,130,75,110,130,cursed-body,,,8,ghost,4,poison,,
onix,https://pokeapi.co/api/v2/pokemon/95/,77.0,88,95,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,2100,35,45,160,30,45,70,69,rock-head,5,sturdy,6,rock,5,ground,133,weak-armor
drowzee,https://pokeapi.co/api/v2/pokemon/96/,66.0,10,96,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,324,60,48,45,43,90,42,15,insomnia,108,forewarn,14,psychic,,,39,inner-focus
hypno,https://pokeapi.co/api/v2/pokemon/97/,169.0,16,97,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,756,85,73,70,73,115,67,15,insomnia,108,forewarn,14,psychic,,,39,inner-focus
krabby,https://pokeapi.co/api/v2/pokemon/98/,65.0,4,98,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,65,30,105,90,25,25,50,52,hyper-cutter,75,shell-armor,11,water,,,125,sheer-force
kingler,https://pokeapi.co/api/v2/pokemon/99/,166.0,13,99,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,600,55,130,115,50,50,75,52,hyper-cutter,75,shell-armor,11,water,,,125,sheer-force
voltorb,https://pokeapi.co/api/v2/pokemon/100/,66.0,5,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,104,40,30,50,55,55,100,43,soundproof,9,static,13,electric,,,106,aftermath
electrode,https://pokeapi.co/api/v2/pokemon/101/,172.0,12,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,666,60,50,70,80,80,150,43,soundproof,9,static,13,electric,,,106,aftermath
exeggcute,https://pokeapi.co/api/v2/pokemon/102/,65.0,4,102,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,25,60,40,80,60,45,40,34,chlorophyll,139,harvest,12,grass,14,psychic,,
exeggutor,https://pokeapi.co/api/v2/pokemon/103/,186.0,20,103,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,1200,95,95,85,125,75,55,34,chlorophyll,139,harvest,12,grass,14,psychic,,
cubone,https://pokeapi.co/api/v2/pokemon/104/,64.0,4,104,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,65,50,50,95,40,50,35,69,rock-head,31,lightning-rod,5,ground,,,4,battle-armor
marowak,https://pokeapi.co/api/v2/pokemon/105/,149.0,10,105,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,450,60,80,110,50,80,45,69,rock-head,31,lightning-rod,5,ground,,,4,battle-armor
hitmonlee,https://pokeapi.co/api/v2/pokemon/106/,159.0,15,106,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,498,50,120,53,35,110,87,7,limber,120,reckless,2,fighting,,,84,unburden
hitmonchan,https://pokeapi.co/api/v2/pokemon/107/,159.0,14,107,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,502,50,105,79,35,110,76,51,keen-eye,89,iron-fist,2,fighting,,,39,inner-focus
lickitung,https://pokeapi.co/api/v2/pokemon/108/,77.0,12,108,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,655,90,55,75,60,75,30,20,own-tempo,12,oblivious,1,normal,,,13,cloud-nine
koffing,https://pokeapi.co/api/v2/pokemon/109/,68.0,6,109,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,10,40,65,95,60,45,35,26,levitate,256,neutralizing-gas,4,poison,,,1,stench
weezing,https://pokeapi.co/api/v2/pokemon/110/,172.0,12,110,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,95,65,90,120,85,70,60,26,levitate,256,neutralizing-gas,4,poison,,,1,stench
rhyhorn,https://pokeapi.co/api/v2/pokemon/111/,69.0,10,111,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,1150,80,85,95,30,30,25,31,lightning-rod,69,rock-head,5,ground,6,rock,120,reckless
rhydon,https://pokeapi.co/api/v2/pokemon/112/,170.0,19,112,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,1200,105,130,120,45,45,40,31,lightning-rod,69,rock-head,5,ground,6,rock,120,reckless
chansey,https://pokeapi.co/api/v2/pokemon/113/,395.0,11,113,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,346,250,5,5,35,105,50,30,natural-cure,32,serene-grace,1,normal,,,131,healer
tangela,https://pokeapi.co/api/v2/pokemon/114/,87.0,10,114,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,350,65,55,115,100,40,60,34,chlorophyll,102,leaf-guard,12,grass,,,144,regenerator
kangaskhan,https://pokeapi.co/api/v2/pokemon/115/,172.0,22,115,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,800,105,95,80,40,80,90,48,early-bird,113,scrappy,1,normal,,,39,inner-focus
horsea,https://pokeapi.co/api/v2/pokemon/116/,59.0,4,116,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,80,30,40,70,70,25,60,33,swift-swim,97,sniper,11,water,,,6,damp
